year,geography_type,geography_id,geography_name,total_storefronts,vacant_storefronts,vacancy_rate,median_rent_psf_class2_4,total_storefronts_class1,vacant_storefronts_class1,vacancy_rate_class1,total_storefronts_class2_4,vacant_storefronts_class2_4,vacancy_rate_class2_4,total_storefronts_all,vacant_storefronts_all,vacancy_rate_all,has_full_class1_vacancy,has_full_class24_vacancy
2019,census tract,1.0170.00,1.0170.00,77.0,,,5.0,,,,77.0,,,77.0,,,True,False
2019,census tract,1.0171.00,1.0171.00,59.0,,,13.0,,,,59.0,,,59.0,,,True,False
2019,census tract,1.0172.00,1.0172.00,129.0,,,4.0,,,,129.0,,,129.0,,,True,False
2019,census tract,1.0173.00,1.0173.00,47.0,,,8.02,,,,47.0,,,47.0,,,True,False
2019,census tract,1.0174.01,1.0174.01,15.0,,,4.0,,,,15.0,,,15.0,,,True,False
2019,census tract,1.0174.02,1.0174.02,19.0,,,4.0,,,,19.0,,,19.0,,,True,False
2019,census tract,1.0175.00,1.0175.00,59.0,,,10.88,,,,59.0,,,59.0,,,True,False
2019,census tract,1.0177.00,1.0177.00,34.0,,,7.5,,,,34.0,,,34.0,,,True,False
2019,census tract,1.0178.00,1.0178.00,57.0,,,4.0,,,,57.0,,,57.0,,,True,False
2019,census tract,1.0179.00,1.0179.00,63.0,,,11.0,,,,63.0,,,63.0,,,True,False
2019,census tract,1.0180.00,1.0180.00,62.0,,,4.0,,,,62.0,,,62.0,,,True,False
2019,census tract,1.0181.00,1.0181.00,38.0,,,9.0,,,,38.0,,,38.0,,,True,False
2019,census tract,1.0182.00,1.0182.00,113.0,,,5.0,,,,113.0,,,113.0,,,True,False
2019,census tract,1.0183.00,1.0183.00,90.0,,,12.260000000000002,,,,90.0,,,90.0,,,True,False
2019,census tract,1.0184.00,1.0184.00,72.0,,,3.74,,,,72.0,,,72.0,,,True,False
2019,census tract,1.0185.00,1.0185.00,29.0,0.0,0.0,4.78,,,,29.0,0.0,0.0,29.0,0.0,0.0,True,True
2019,census tract,1.0186.00,1.0186.00,13.0,,,4.5,,,,13.0,,,13.0,,,True,False
2019,census tract,1.0187.00,1.0187.00,68.0,,,9.5,,,,68.0,,,68.0,,,True,False
2019,census tract,1.0188.00,1.0188.00,102.0,,,4.0,,,,102.0,,,102.0,,,True,False
2019,census tract,1.0189.00,1.0189.00,42.0,,,6.33,,,,42.0,,,42.0,,,True,False
2019,census tract,1.0190.00,1.0190.00,22.0,,,4.0,,,,22.0,,,22.0,,,True,False
2019,census tract,1.0191.00,1.0191.00,63.0,,,9.0,,,,63.0,,,63.0,,,True,False
2019,census tract,1.0193.00,1.0193.00,88.0,,,6.0,,,,88.0,,,88.0,,,True,False
2019,census tract,1.0194.00,1.0194.00,38.0,,,3.0,,,,38.0,,,38.0,,,True,False
2019,census tract,1.0195.00,1.0195.00,58.0,,,10.0,,,,58.0,,,58.0,,,True,False
2019,census tract,1.0196.00,1.0196.00,89.0,,,5.38,,,,89.0,,,89.0,,,True,False
